Year,GST_5,Global surface temperature,GST_95,SSP1-1.9_5,SSP1-1.9,SSP1-1.9_95,SSP1-2.6_5,SSP1-2.6,SSP1-2.6_95,SSP2-4.5_5,SSP2-4.5,SSP2-4.5_95,SSP3-7.0_5,SSP3-7.0,SSP3-7.0_95,SSP5-8.5_5,SSP5-8.5,SSP5-8.5_95,,,,,,,
2021,NA,NA,NA,1.116316397,1.251715813,1.395545562,1.114052097,1.254123596,1.414332501,1.119937782,1.255799225,1.412803967,1.10903394,1.246637159,1.406841456,1.142972412,1.283470132,1.456781771,,,,,,,
2022,NA,NA,NA,1.131426639,1.276959015,1.431435217,1.13023214,1.278778937,1.449860415,1.138716512,1.28132557,1.447621289,1.125932764,1.272722975,1.442604037,1.165054366,1.315981986,1.501338114,,,,,,,
2023,NA,NA,NA,1.143703642,1.300042351,1.466095905,1.146167254,1.30178068,1.484397476,1.154824297,1.306667293,1.481779292,1.143262484,1.298628835,1.473310669,1.186427869,1.346799974,1.538984085,,,,,,,
2024,NA,NA,NA,1.155780874,1.321454671,1.497793007,1.161122394,1.325222232,1.521392977,1.171267596,1.332846258,1.515087607,1.160836266,1.323940762,1.514017394,1.205258007,1.376803342,1.581494073,,,,,,,
2025,NA,NA,NA,1.167700257,1.343829074,1.531443563,1.175604574,1.350618531,1.552925162,1.18363507,1.357636732,1.548510258,1.17865779,1.349195876,1.549546991,1.224146437,1.409638531,1.626236508,,,,,,,
2026,NA,NA,NA,1.182071659,1.366752732,1.563874518,1.189768229,1.372619163,1.585592684,1.201553501,1.381202411,1.58150717,1.197034989,1.375721086,1.585632059,1.247006611,1.441877806,1.667999994,,,,,,,
2027,NA,NA,NA,1.195750002,1.388259638,1.594148766,1.204514327,1.395754585,1.614728989,1.219137706,1.405550503,1.615513408,1.215712848,1.40325435,1.622117376,1.271120574,1.475212514,1.711516607,,,,,,,
2028,NA,NA,NA,1.206357913,1.407256662,1.622647885,1.218856351,1.417280592,1.645861947,1.237643952,1.432808941,1.649756038,1.235792308,1.432134839,1.655038045,1.294156066,1.509049321,1.756477731,,,,,,,
2029,NA,NA,NA,1.217020393,1.426049766,1.650491691,1.232814777,1.439774724,1.678248809,1.256396786,1.458037594,1.684459967,1.255146496,1.460234515,1.692432562,1.31830495,1.543635754,1.798085458,,,,,,,
2030,NA,NA,NA,1.228010672,1.443502648,1.675340717,1.246874653,1.460753546,1.70836156,1.274936568,1.482942756,1.719285454,1.275278833,1.488259292,1.730267694,1.340855325,1.576928656,1.841457709,,,,,,,
2031,NA,NA,NA,1.234975855,1.45908255,1.700707144,1.259753185,1.48046995,1.737507885,1.292468585,1.506218011,1.753360469,1.295744599,1.517410639,1.768977616,1.364782525,1.610439138,1.88685013,,,,,,,
2032,NA,NA,NA,1.241240694,1.474052992,1.725904055,1.270556296,1.499200188,1.765484912,1.308623294,1.529446014,1.785807756,1.316980208,1.546276025,1.807687354,1.390625815,1.644262338,1.932285068,,,,,,,
2033,NA,NA,NA,1.247567865,1.487861154,1.74810147,1.281696377,1.517611007,1.792770565,1.324961658,1.551432291,1.819314982,1.33694704,1.57446024,1.847415638,1.410746028,1.677874345,1.978728279,,,,,,,
2034,NA,NA,NA,1.252629551,1.499359368,1.767090988,1.291473976,1.534261347,1.820492619,1.342530448,1.572800123,1.852066718,1.35946623,1.601990582,1.886146522,1.434906733,1.712720129,2.024747366,,,,,,,
2035,NA,NA,NA,1.256775085,1.51006706,1.786170265,1.299266308,1.549817928,1.843521653,1.359069945,1.594112393,1.883886441,1.381661204,1.629818762,1.924070302,1.458803203,1.74763477,2.071520093,,,,,,,
2036,NA,NA,NA,1.260589191,1.52004617,1.803607484,1.307635271,1.56524088,1.867629645,1.375798722,1.617129302,1.915774852,1.403978169,1.659600945,1.967068669,1.483370971,1.783015571,2.117948977,,,,,,,
2037,NA,NA,NA,1.263875027,1.528241087,1.81815649,1.315347228,1.579491812,1.893450366,1.392802574,1.640932093,1.94766386,1.426399279,1.690527409,2.006207027,1.509067962,1.8177852,2.162790839,,,,,,,
2038,NA,NA,NA,1.265462329,1.535336004,1.831783309,1.323293169,1.594629592,1.917318029,1.411512044,1.665194436,1.981725927,1.446730798,1.720359928,2.04663326,1.536156714,1.853785112,2.211017366,,,,,,,
2039,NA,NA,NA,1.268507447,1.54306938,1.845647127,1.331534996,1.609538329,1.940528663,1.430457864,1.689145255,2.015682911,1.47000673,1.74949416,2.086582468,1.563592434,1.892334385,2.260369028,,,,,,,
2040,NA,NA,NA,1.270907329,1.549635039,1.857401273,1.339642935,1.622439625,1.96203604,1.447977302,1.712334759,2.048896825,1.497057272,1.781320366,2.128589055,1.591664263,1.932941125,2.312494525,,,,,,,
2041,NA,NA,NA,1.271823516,1.55412145,1.867063289,1.346727778,1.635165952,1.983618275,1.464779511,1.736928986,2.083229703,1.522525371,1.815078355,2.166976675,1.620760393,1.973450266,2.365856632,,,,,,,
2042,NA,NA,NA,1.273603829,1.558734535,1.875360869,1.354334544,1.647946033,2.006871617,1.482958172,1.761675215,2.11754981,1.547611928,1.847174852,2.214677386,1.648541063,2.011311167,2.416993986,,,,,,,
2043,NA,NA,NA,1.275930824,1.562800424,1.882665436,1.359253627,1.660422854,2.029218993,1.501285495,1.786704846,2.151695109,1.571469404,1.876230382,2.25658778,1.677784592,2.052008843,2.471009802,,,,,,,
2044,NA,NA,NA,1.276253415,1.566356881,1.8907446,1.364642585,1.669689911,2.049021985,1.518787095,1.809090932,2.186173353,1.595442964,1.907567189,2.29976387,1.707986856,2.094221047,2.527432897,,,,,,,
2045,NA,NA,NA,1.274597569,1.568121079,1.89679855,1.370174478,1.679842347,2.067024313,1.535671298,1.830748445,2.226299124,1.619481419,1.940398884,2.343254962,1.738701628,2.135517351,2.582179875,,,,,,,
2046,NA,NA,NA,1.270629053,1.567168399,1.900476847,1.375088309,1.690823895,2.082946783,1.55135397,1.854509375,2.258704353,1.64429321,1.973963077,2.386487629,1.768256094,2.177517119,2.638026939,,,,,,,
2047,NA,NA,NA,1.265763208,1.567000396,1.905980032,1.378215359,1.700404272,2.112893037,1.566968531,1.879956886,2.293169331,1.669187416,2.006339542,2.429366419,1.79819346,2.21934435,2.694732948,,,,,,,
2048,NA,NA,NA,1.26235169,1.566768572,1.910409224,1.381058223,1.708019939,2.128091857,1.583189502,1.901738633,2.328049804,1.692866399,2.037212553,2.470722476,1.832998455,2.260737596,2.750675288,,,,,,,
2049,NA,NA,NA,1.259214937,1.566172001,1.912853669,1.384713231,1.716008714,2.14282916,1.597920268,1.922370183,2.359299245,1.717817482,2.066088305,2.513280735,1.865793893,2.304063948,2.812369457,,,,,,,
2050,NA,NA,NA,1.256735313,1.565447871,1.915745129,1.38574559,1.723816299,2.156089668,1.613801546,1.945773953,2.400274991,1.741237339,2.100658252,2.558017479,1.899725505,2.348434423,2.870155476,,,,,,,
2051,NA,NA,NA,1.253047772,1.564642917,1.918877277,1.387556832,1.732702155,2.169123281,1.630250557,1.973295137,2.423388203,1.766395101,2.133239502,2.599704479,1.933048069,2.392893215,2.928542183,,,,,,,
2052,NA,NA,NA,1.250034246,1.562828892,1.919199539,1.391785543,1.740365356,2.181836055,1.647301767,1.994489481,2.461921457,1.791891347,2.166502308,2.64346712,1.965051158,2.438887476,2.987667093,,,,,,,
2053,NA,NA,NA,1.246170714,1.561234665,1.920868475,1.394137457,1.747410789,2.193510973,1.661258232,2.017039307,2.494223806,1.81880757,2.200312819,2.687983501,1.999754677,2.486342319,3.047965994,,,,,,,
2054,NA,NA,NA,1.242980939,1.559963113,1.922369929,1.395253781,1.754036512,2.204807216,1.675918118,2.038640485,2.524524756,1.841548792,2.234904158,2.732865774,2.03306485,2.531059711,3.108461599,,,,,,,
2055,NA,NA,NA,1.238873751,1.557207222,1.921647934,1.397690539,1.760044209,2.215678754,1.690577165,2.061187219,2.545671128,1.86437941,2.268249558,2.781599759,2.06526083,2.573277659,3.168048726,,,,,,,
2056,NA,NA,NA,1.232554112,1.553330979,1.920791334,1.398037165,1.765643665,2.22533482,1.703619849,2.083904415,2.576943514,1.890380396,2.3003807,2.827362135,2.099080158,2.619445982,3.228513671,,,,,,,
2057,NA,NA,NA,1.22701849,1.54982954,1.920842844,1.398942502,1.770448395,2.233615485,1.717177835,2.104357818,2.60607776,1.917329206,2.333724096,2.872319337,2.131211509,2.668121188,3.291170378,,,,,,,
2058,NA,NA,NA,1.222183131,1.547309302,1.921430927,1.401268375,1.774362385,2.242317217,1.73096209,2.124835499,2.633794612,1.943529933,2.368426761,2.917282495,2.164340103,2.712618401,3.352780301,,,,,,,
2059,NA,NA,NA,1.216978398,1.543649204,1.920122109,1.4024254,1.778051519,2.250150496,1.743458393,2.14550685,2.662063183,1.967684459,2.403768093,2.963919837,2.19571636,2.757157671,3.414799933,,,,,,,
2060,NA,NA,NA,1.212213163,1.540005436,1.918086553,1.40304165,1.782696197,2.257247589,1.758285299,2.165121683,2.699825595,1.991583339,2.438560719,3.00982612,2.228158125,2.796679823,3.478178364,,,,,,,
2061,NA,NA,NA,1.20752798,1.53662847,1.917334395,1.405418734,1.78585273,2.263809255,1.773046521,2.186229471,2.728224837,2.017031072,2.473101372,3.056240383,2.26227942,2.844935016,3.543039511,,,,,,,
2062,NA,NA,NA,1.202415928,1.533170728,1.916515345,1.406355635,1.787993181,2.269791713,1.785509831,2.205377039,2.765178908,2.039082805,2.510043872,3.104100941,2.297131054,2.893293154,3.609132135,,,,,,,
2063,NA,NA,NA,1.196397937,1.529034933,1.914450361,1.408127056,1.791742064,2.274116523,1.7993755,2.225378859,2.792999656,2.065378282,2.546709029,3.152418654,2.319130703,2.942002221,3.674559273,,,,,,,
2064,NA,NA,NA,1.191742153,1.524952988,1.911503175,1.410168982,1.794761577,2.279494195,1.814209079,2.245274117,2.819375596,2.09198967,2.58408702,3.198879473,2.352932824,2.989032509,3.739416082,,,,,,,
2065,NA,NA,NA,1.186890879,1.520569432,1.908890886,1.411076301,1.797476505,2.285248935,1.827924401,2.26340709,2.846629969,2.117522442,2.62183267,3.248458548,2.385391021,3.036282075,3.816983113,,,,,,,
2066,NA,NA,NA,1.183505684,1.517917251,1.907473218,1.410641732,1.798835813,2.289981306,1.840756964,2.28125641,2.871768497,2.141511749,2.658745784,3.29757265,2.415014936,3.08611574,3.88210483,,,,,,,
2067,NA,NA,NA,1.181340115,1.514436812,1.90344047,1.410876824,1.798589211,2.293074106,1.854123418,2.298366149,2.897578102,2.167577405,2.695752566,3.346323494,2.448551765,3.134536202,3.945988339,,,,,,,
2068,NA,NA,NA,1.177199255,1.510551237,1.900505832,1.410725848,1.799042173,2.296298541,1.867429464,2.316237794,2.921361728,2.192251362,2.729997831,3.395707389,2.48309938,3.18064827,4.010491262,,,,,,,
2069,NA,NA,NA,1.171648234,1.506502879,1.898528916,1.409967256,1.801170645,2.299917709,1.879681029,2.333860647,2.945109757,2.220263205,2.764676095,3.444902872,2.516484988,3.229456906,4.076478094,,,,,,,
2070,NA,NA,NA,1.166891475,1.502784565,1.896324093,1.40946363,1.800509257,2.303786568,1.890761741,2.349677232,2.968366923,2.245425751,2.799205476,3.493878921,2.549009183,3.279564756,4.144222375,,,,,,,
2071,NA,NA,NA,1.165372742,1.499301826,1.892040728,1.409144936,1.800176143,2.307275671,1.901598857,2.365764147,3.000346851,2.272365182,2.837206249,3.543115349,2.582351789,3.329393298,4.213888528,,,,,,,
2072,NA,NA,NA,1.162020676,1.49557313,1.889017839,1.408099532,1.800643782,2.310121048,1.914047231,2.385652582,3.024821907,2.300354272,2.875600342,3.592440615,2.615776651,3.376201434,4.282297224,,,,,,,
2073,NA,NA,NA,1.158920128,1.492243106,1.885799074,1.40671703,1.799682314,2.313491728,1.926265693,2.400872441,3.047696386,2.327844687,2.912321573,3.642674969,2.651925744,3.426389033,4.352691631,,,,,,,
2074,NA,NA,NA,1.155584091,1.489024857,1.883054807,1.407026849,1.799241901,2.316333283,1.937030968,2.420856025,3.072036799,2.357693646,2.950057146,3.692318714,2.687713187,3.478239948,4.421785408,,,,,,,
2075,NA,NA,NA,1.153372256,1.486705666,1.881010708,1.406321877,1.798608142,2.319976901,1.94788663,2.436986628,3.095418607,2.387656519,2.987484987,3.743753445,2.726767994,3.528473273,4.494372531,,,,,,,
2076,NA,NA,NA,1.15043848,1.483224809,1.878038874,1.40704158,1.797969429,2.322319708,1.95922178,2.44928257,3.118471459,2.416924636,3.028042487,3.795487204,2.763976099,3.578517491,4.56747786,,,,,,,
2077,NA,NA,NA,1.146358958,1.479470223,1.87543331,1.406602207,1.796334256,2.323878021,1.970828215,2.469227025,3.142116963,2.441958592,3.065965237,3.847690732,2.799776056,3.62956571,4.639567984,,,,,,,
2078,NA,NA,NA,1.142783735,1.474762246,1.869705067,1.403537741,1.793544319,2.324984202,1.981238541,2.484956601,3.165511964,2.469616897,3.102424883,3.89889925,2.835702712,3.679307267,4.712642367,,,,,,,
2079,NA,NA,NA,1.139108606,1.469025303,1.862536122,1.400259221,1.792229004,2.326365615,1.990776586,2.498688922,3.186745369,2.499193852,3.140936604,3.95008048,2.870909367,3.733668902,4.78535493,,,,,,,
2080,NA,NA,NA,1.135514602,1.463558932,1.856716228,1.398355882,1.788891938,2.326129072,1.999453728,2.512986406,3.207514773,2.528447437,3.181039699,4.001346385,2.903927307,3.784346387,4.857812326,,,,,,,
2081,NA,NA,NA,1.132788013,1.459295511,1.851606595,1.393610726,1.786833311,2.327203687,2.008041731,2.527228874,3.228755902,2.555687923,3.218318401,4.053526173,2.937935092,3.833343571,4.927053897,,,,,,,
2082,NA,NA,NA,1.129081173,1.455213334,1.84734907,1.391900192,1.783811909,2.327554774,2.017824317,2.542410978,3.250691705,2.583027883,3.254365012,4.103912571,2.972805508,3.885569436,5.00079507,,,,,,,
2083,NA,NA,NA,1.125923459,1.451042728,1.842422596,1.388847844,1.780553457,2.32888364,2.025909162,2.557049642,3.272186147,2.611602736,3.29317655,4.157411058,3.007826204,3.939075944,5.073203961,,,,,,,
2084,NA,NA,NA,1.122325394,1.44657267,1.837981079,1.383839488,1.777842173,2.329567221,2.033985479,2.571728182,3.292892258,2.64027343,3.332336794,4.213172011,3.043163662,3.990479073,5.14771496,,,,,,,
2085,NA,NA,NA,1.120064283,1.443611109,1.834984588,1.38185377,1.774576942,2.330611199,2.044171134,2.586203367,3.312704515,2.668919219,3.371378585,4.268736129,3.078831638,4.042170397,5.221882324,,,,,,,
2086,NA,NA,NA,1.115473733,1.439094809,1.83130304,1.378968542,1.772189482,2.331366762,2.054352756,2.600524191,3.334216547,2.696717782,3.40911871,4.323224653,3.115181914,4.093118878,5.296121508,,,,,,,
2087,NA,NA,NA,1.109808487,1.434457525,1.827549216,1.37416306,1.769013637,2.332965733,2.062797688,2.614442537,3.355945506,2.727168131,3.448358067,4.377564293,3.151821984,4.145186055,5.371190231,,,,,,,
2088,NA,NA,NA,1.106180967,1.429551556,1.822303125,1.368898956,1.764498228,2.332888421,2.070566443,2.627413769,3.376209412,2.760144966,3.489697214,4.432394144,3.185777588,4.197856046,5.446818681,,,,,,,
2089,NA,NA,NA,1.101440051,1.42389761,1.816791778,1.364901995,1.760809845,2.332466457,2.078155205,2.638886883,3.396525164,2.789997852,3.529516524,4.484233766,3.222939557,4.249289921,5.520999108,,,,,,,
2090,NA,NA,NA,1.095231466,1.417880784,1.811103423,1.360256627,1.758729909,2.331471247,2.085345749,2.65009197,3.415727347,2.820434413,3.567628711,4.541136017,3.259087689,4.300077477,5.59616637,,,,,,,
2091,NA,NA,NA,1.092253861,1.414310347,1.807548505,1.356950757,1.75431596,2.33264913,2.09393502,2.664827267,3.43502017,2.847464529,3.606357659,4.595606189,3.292139075,4.35062671,5.667334776,,,,,,,
2092,NA,NA,NA,1.089385558,1.410984269,1.803013212,1.352560162,1.749871218,2.3325151,2.100788431,2.675315457,3.453625846,2.876382375,3.645376137,4.649576731,3.327391452,4.401697899,5.739795115,,,,,,,
2093,NA,NA,NA,1.084497879,1.407192649,1.79876971,1.348302326,1.746275025,2.332138776,2.107396097,2.686949806,3.471900048,2.904347473,3.684243773,4.704165499,3.362112586,4.450658071,5.810965954,,,,,,,
2094,NA,NA,NA,1.079756934,1.40334356,1.795293457,1.342932863,1.742477455,2.331450735,2.11452817,2.698345707,3.48783778,2.932247134,3.721228859,4.758397787,3.395673853,4.49915057,5.88071757,,,,,,,
2095,NA,NA,NA,1.075387246,1.39959568,1.791378137,1.338564519,1.738994,2.330311127,2.121174476,2.709810212,3.504371381,2.959684718,3.758451683,4.812137964,3.429177569,4.548681042,5.950025008,,,,,,,
2096,NA,NA,NA,1.070570419,1.395931947,1.787640245,1.333901173,1.734824558,2.329500645,2.12658145,2.721366589,3.520521903,2.986875182,3.796472137,4.867172565,3.46259621,4.596716455,6.01871215,,,,,,,
